2018-11-01 01:05:20 install debconf:all <none> 1.5.66
2018-11-01 01:05:20 status half-installed debconf:all 1.5.66
2018-11-01 01:05:20 status unpacked debconf:all 1.5.66
2018-11-01 01:05:20 status unpacked debconf:all 1.5.66
2018-11-01 01:05:20 configure debconf:all 1.5.66 1.5.66
2018-11-01 01:05:20 status unpacked debconf:all 1.5.66
2018-11-01 01:05:20 status unpacked debconf:all 1.5.66
2018-11-01 01:05:20 status unpacked debconf:all 1.5.66
2018-11-01 01:05:20 status half-configured debconf:all 1.5.66
2018-11-01 01:05:20 status installed debconf:all 1.5.66
2018-11-01 01:05:20 startup archives unpack
2018-11-01 01:05:20 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2018-11-01 01:05:20 status half-configured base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 status unpacked base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 status half-installed base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 status half-installed base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 status unpacked base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 status unpacked base-files:amd64 10.1ubuntu2
2018-11-01 01:05:20 upgrade base-passwd:amd64 3.5.44 3.5.44
2018-11-01 01:05:20 status half-configured base-passwd:amd64 3.5.44
2018-11-01 01:05:20 status unpacked base-passwd:amd64 3.5.44
2018-11-01 01:05:20 status half-installed base-passwd:amd64 3.5.44
2018-11-01 01:05:20 status half-installed base-passwd:amd64 3.5.44
2018-11-01 01:05:20 status unpacked base-passwd:amd64 3.5.44
2018-11-01 01:05:20 status unpacked base-passwd:amd64 3.5.44
2018-11-01 01:05:20 install bash:amd64 <none> 4.4.18-2ubuntu1
2018-11-01 01:05:20 status half-installed bash:amd64 4.4.18-2ubuntu1
2018-11-01 01:05:20 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-11-01 01:05:20 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-11-01 01:05:20 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2018-11-01 01:05:20 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-11-01 01:05:20 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-11-01 01:05:20 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-11-01 01:05:20 install coreutils:amd64 <none> 8.28-1ubuntu1
2018-11-01 01:05:20 status half-installed coreutils:amd64 8.28-1ubuntu1
2018-11-01 01:05:21 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-11-01 01:05:21 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-11-01 01:05:21 install dash:amd64 <none> 0.5.8-2.10
2018-11-01 01:05:21 status half-installed dash:amd64 0.5.8-2.10
2018-11-01 01:05:21 status unpacked dash:amd64 0.5.8-2.10
2018-11-01 01:05:21 status unpacked dash:amd64 0.5.8-2.10
2018-11-01 01:05:21 upgrade debconf:all 1.5.66 1.5.66
2018-11-01 01:05:21 status half-configured debconf:all 1.5.66
2018-11-01 01:05:21 status unpacked debconf:all 1.5.66
2018-11-01 01:05:21 status half-installed debconf:all 1.5.66
2018-11-01 01:05:21 status half-installed debconf:all 1.5.66
2018-11-01 01:05:21 status unpacked debconf:all 1.5.66
2018-11-01 01:05:21 status unpacked debconf:all 1.5.66
2018-11-01 01:05:21 install debianutils:amd64 <none> 4.8.4
2018-11-01 01:05:21 status half-installed debianutils:amd64 4.8.4
2018-11-01 01:05:21 status unpacked debianutils:amd64 4.8.4
2018-11-01 01:05:21 status unpacked debianutils:amd64 4.8.4
2018-11-01 01:05:21 install diffutils:amd64 <none> 1:3.6-1
2018-11-01 01:05:21 status half-installed diffutils:amd64 1:3.6-1
2018-11-01 01:05:21 status unpacked diffutils:amd64 1:3.6-1
2018-11-01 01:05:21 status unpacked diffutils:amd64 1:3.6-1
2018-11-01 01:05:21 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-11-01 01:05:21 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-11-01 01:05:21 status unpacked dpkg:amd64 1.19.0.5ubuntu2
